LECROYWP7300A,47067,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2018 00:26:06,0                 
Time,Ampl
-2.502e-007,0.00039743
-2.5e-007,0.00039743
-2.498e-007,0.000387151
-2.496e-007,0.000441969
-2.494e-007,0.000544753
-2.492e-007,0.000544753
-2.49e-007,0.000387151
-2.488e-007,0.00024668
-2.486e-007,0.000267237
-2.484e-007,0.000424839
-2.482e-007,0.000527622
-2.48e-007,0.000448821
-2.478e-007,0.00035289
-2.476e-007,0.000383725
-2.474e-007,0.000500213
-2.472e-007,0.000507065
-2.47e-007,0.000380299
-2.468e-007,0.000263811
-2.466e-007,0.000253533
-2.464e-007,0.000328907
-2.462e-007,0.000376873
-2.46e-007,0.000346038
-2.458e-007,0.00033576
-2.456e-007,0.000445395
-2.454e-007,0.000585866
-2.452e-007,0.000596144
-2.45e-007,0.000452248
-2.448e-007,0.000308351
-2.446e-007,0.000318629
-2.444e-007,0.00041456
-2.442e-007,0.000431691
-2.44e-007,0.000325481
-2.438e-007,0.000212419
-2.436e-007,0.000263811
-2.434e-007,0.000407708
-2.432e-007,0.000445395
-2.43e-007,0.000390577
-2.428e-007,0.000373447
-2.426e-007,0.000479656
-2.424e-007,0.000589292
-2.422e-007,0.000548179
-2.42e-007,0.000373447
-2.418e-007,0.000243254
-2.416e-007,0.000274089
-2.414e-007,0.00035289
-2.412e-007,0.00035289
-2.41e-007,0.000318629
-2.408e-007,0.000346038
-2.406e-007,0.000479656
-2.404e-007,0.000599571
-2.402e-007,0.000534474
-2.4e-007,0.000356316
-2.398e-007,0.000226124
-2.396e-007,0.000226124
-2.394e-007,0.000318629
-2.392e-007,0.000373447
-2.39e-007,0.000346038
-2.388e-007,0.000370021
-2.386e-007,0.000510492
-2.384e-007,0.000616701
-2.382e-007,0.000531048
-2.38e-007,0.000332333
-2.378e-007,0.000226124
-2.376e-007,0.000284368
-2.374e-007,0.000394004
-2.372e-007,0.000407708
-2.37e-007,0.000332333
-2.368e-007,0.000328907
-2.366e-007,0.000448821
-2.364e-007,0.000541327
-2.362e-007,0.000486509
-2.36e-007,0.000346038
-2.358e-007,0.000325481
-2.356e-007,0.000438543
-2.354e-007,0.00052077
-2.352e-007,0.000462526
-2.35e-007,0.000328907
-2.348e-007,0.000298072
-2.346e-007,0.000356316
-2.344e-007,0.000380299
-2.342e-007,0.000318629
-2.34e-007,0.000270663
-2.338e-007,0.000387151
-2.336e-007,0.000572162
-2.334e-007,0.000630406
-2.332e-007,0.000503639
-2.33e-007,0.000325481
-2.328e-007,0.000250107
-2.326e-007,0.000308351
-2.324e-007,0.000370021
-2.322e-007,0.000346038
-2.32e-007,0.00035289
-2.318e-007,0.000441969
-2.316e-007,0.000544753
-2.314e-007,0.00052077
-2.312e-007,0.000339186
-2.31e-007,0.000174732
-2.308e-007,0.000195289
-2.306e-007,0.000380299
-2.304e-007,0.000541327
-2.302e-007,0.000558457
-2.3e-007,0.00047623
-2.298e-007,0.000431691
-2.296e-007,0.000452248
-2.294e-007,0.000383725
-2.292e-007,0.000198715
-2.29e-007,0.000130192
-2.288e-007,0.000304924
-2.286e-007,0.000558457
-2.284e-007,0.000650962
-2.282e-007,0.000534474
-2.28e-007,0.000370021
-2.278e-007,0.00033576
-2.276e-007,0.000366595
-2.274e-007,0.000339186
-2.272e-007,0.000277516
-2.27e-007,0.000267237
-2.268e-007,0.000376873
-2.266e-007,0.000534474
-2.264e-007,0.000558457
-2.262e-007,0.000428265
-2.26e-007,0.000322055
-2.258e-007,0.00035289
-2.256e-007,0.000462526
-2.254e-007,0.000486509
-2.252e-007,0.000400856
-2.25e-007,0.000356316
-2.248e-007,0.000407708
-2.246e-007,0.000462526
-2.244e-007,0.00041456
-2.242e-007,0.00029122
-2.24e-007,0.000256959
-2.238e-007,0.000373447
-2.236e-007,0.000513918
-2.234e-007,0.000517344
-2.232e-007,0.000383725
-2.23e-007,0.000270663
-2.228e-007,0.000284368
-2.226e-007,0.000387151
-2.224e-007,0.000404282
-2.222e-007,0.000332333
-2.22e-007,0.000366595
-2.218e-007,0.000527622
-2.216e-007,0.000637258
-2.214e-007,0.000572162
-2.212e-007,0.00035289
-2.21e-007,0.00018501
-2.208e-007,0.000205567
-2.206e-007,0.000332333
-2.204e-007,0.000376873
-2.202e-007,0.000325481
-2.2e-007,0.000363168
-2.198e-007,0.000493361
-2.196e-007,0.000565309
-2.194e-007,0.000489935
-2.192e-007,0.000339186
-2.19e-007,0.000298072
-2.188e-007,0.000417986
-2.186e-007,0.000479656
-2.184e-007,0.000390577
-2.182e-007,0.000260385
-2.18e-007,0.000270663
-2.178e-007,0.000394004
-2.176e-007,0.0004591
-2.174e-007,0.000421412
-2.172e-007,0.00035289
-2.17e-007,0.000380299
-2.168e-007,0.000493361
-2.166e-007,0.000517344
-2.164e-007,0.00039743
-2.162e-007,0.000270663
-2.16e-007,0.000280942
-2.158e-007,0.000394004
-2.156e-007,0.000462526
-2.154e-007,0.000390577
-2.152e-007,0.000287794
-2.15e-007,0.000304924
-2.148e-007,0.000407708
-2.146e-007,0.000452248
-2.144e-007,0.000383725
-2.142e-007,0.000328907
-2.14e-007,0.000428265
-2.138e-007,0.000561883
-2.136e-007,0.000551605
-2.134e-007,0.000370021
-2.132e-007,0.000205567
-2.13e-007,0.000250107
-2.128e-007,0.000435117
-2.126e-007,0.00052077
-2.124e-007,0.000411134
-2.122e-007,0.000304924
-2.12e-007,0.000359742
-2.118e-007,0.000469378
-2.116e-007,0.000483083
-2.114e-007,0.000359742
-2.112e-007,0.000256959
-2.11e-007,0.000298072
-2.108e-007,0.000363168
-2.106e-007,0.000383725
-2.104e-007,0.000359742
-2.102e-007,0.000332333
-2.1e-007,0.000411134
-2.098e-007,0.000558457
