LECROYWP7300A,47067,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,04-Dec-2018 20:25:48,0                 
Time,Ampl
-2.502e-007,0.000671519
-2.5e-007,0.000496787
-2.498e-007,0.000277516
-2.496e-007,0.000318629
-2.494e-007,0.000592718
-2.492e-007,0.00076745
-2.49e-007,0.00064411
-2.488e-007,0.000376873
-2.486e-007,0.000253533
-2.484e-007,0.000387151
-2.482e-007,0.000599571
-2.48e-007,0.000599571
-2.478e-007,0.000356316
-2.476e-007,0.000178158
-2.474e-007,0.000277516
-2.472e-007,0.000558457
-2.47e-007,0.00070578
-2.468e-007,0.000558457
-2.466e-007,0.000322055
-2.464e-007,0.000260385
-2.462e-007,0.000441969
-2.46e-007,0.000668093
-2.458e-007,0.000630406
-2.456e-007,0.00039743
-2.454e-007,0.000215845
-2.452e-007,0.00029122
-2.45e-007,0.000548179
-2.448e-007,0.000657815
-2.446e-007,0.000510492
-2.444e-007,0.000280942
-2.442e-007,0.000253533
-2.44e-007,0.000469378
-2.438e-007,0.000650962
-2.436e-007,0.000599571
-2.434e-007,0.00039743
-2.432e-007,0.000301498
-2.43e-007,0.000455674
-2.428e-007,0.000626979
-2.426e-007,0.000575588
-2.424e-007,0.000359742
-2.422e-007,0.000219272
-2.42e-007,0.000328907
-2.418e-007,0.000596144
-2.416e-007,0.000712632
-2.414e-007,0.000527622
-2.412e-007,0.000239828
-2.41e-007,0.000157601
-2.408e-007,0.000380299
-2.406e-007,0.000661241
-2.404e-007,0.000712632
-2.402e-007,0.0005379
-2.4e-007,0.000356316
-2.398e-007,0.000370021
-2.396e-007,0.000513918
-2.394e-007,0.000531048
-2.392e-007,0.000332333
-2.39e-007,0.000188436
-2.388e-007,0.000287794
-2.386e-007,0.000558457
-2.384e-007,0.000733189
-2.382e-007,0.000602997
-2.38e-007,0.000280942
-2.378e-007,9.93574e-005
-2.376e-007,0.000260385
-2.374e-007,0.000565309
-2.372e-007,0.000695502
-2.37e-007,0.000551605
-2.368e-007,0.000339186
-2.366e-007,0.000349464
-2.364e-007,0.000558457
-2.362e-007,0.00068865
-2.36e-007,0.000558457
-2.358e-007,0.000325481
-2.356e-007,0.000250107
-2.354e-007,0.000448821
-2.352e-007,0.000702354
-2.35e-007,0.000695502
-2.348e-007,0.000431691
-2.346e-007,0.000195289
-2.344e-007,0.000202141
-2.342e-007,0.000407708
-2.34e-007,0.0005379
-2.338e-007,0.000421412
-2.336e-007,0.000236402
-2.334e-007,0.000256959
-2.332e-007,0.000548179
-2.33e-007,0.000808564
-2.328e-007,0.000798285
-2.326e-007,0.000541327
-2.324e-007,0.000301498
-2.322e-007,0.00033576
-2.32e-007,0.000524196
-2.318e-007,0.000568735
-2.316e-007,0.000373447
-2.314e-007,0.000147323
-2.312e-007,0.000147323
-2.31e-007,0.000404282
-2.308e-007,0.000661241
-2.306e-007,0.000650962
-2.304e-007,0.000438543
-2.302e-007,0.000332333
-2.3e-007,0.000465952
-2.298e-007,0.000657815
-2.296e-007,0.000640684
-2.294e-007,0.000411134
-2.292e-007,0.000250107
-2.29e-007,0.00035289
-2.288e-007,0.000633832
-2.286e-007,0.000774303
-2.284e-007,0.000585866
-2.282e-007,0.000267237
-2.28e-007,0.000143897
-2.278e-007,0.00029122
-2.276e-007,0.000507065
-2.274e-007,0.000544753
-2.272e-007,0.00039743
-2.27e-007,0.00033576
-2.268e-007,0.000524196
-2.266e-007,0.000798285
-2.264e-007,0.000839399
-2.262e-007,0.000541327
-2.26e-007,0.000157601
-2.258e-007,4.79657e-005
-2.256e-007,0.000253533
-2.254e-007,0.000503639
-2.252e-007,0.000558457
-2.25e-007,0.000441969
-2.248e-007,0.000407708
-2.246e-007,0.000616701
-2.244e-007,0.000846251
-2.242e-007,0.000774303
-2.24e-007,0.000407708
-2.238e-007,6.16701e-005
-2.236e-007,6.50963e-005
-2.234e-007,0.000376873
-2.232e-007,0.000664667
-2.23e-007,0.000674945
-2.228e-007,0.0004591
-2.226e-007,0.000342612
-2.224e-007,0.000472804
-2.222e-007,0.000654388
-2.22e-007,0.000606423
-2.218e-007,0.000332333
-2.216e-007,0.000133619
-2.214e-007,0.000219272
-2.212e-007,0.000486509
-2.21e-007,0.000637258
-2.208e-007,0.000503639
-2.206e-007,0.000308351
-2.204e-007,0.000346038
-2.202e-007,0.000626979
-2.2e-007,0.000856529
-2.198e-007,0.000764024
-2.196e-007,0.000411134
-2.194e-007,0.000130192
-2.192e-007,0.000202141
-2.19e-007,0.000479656
-2.188e-007,0.000623553
-2.186e-007,0.000496787
-2.184e-007,0.000280942
-2.182e-007,0.000260385
-2.18e-007,0.000421412
-2.178e-007,0.000575588
-2.176e-007,0.000503639
-2.174e-007,0.000294646
-2.172e-007,0.000274089
-2.17e-007,0.000544753
-2.168e-007,0.000856529
-2.166e-007,0.000859955
-2.164e-007,0.000534474
-2.162e-007,0.000232976
-2.16e-007,0.000222698
-2.158e-007,0.000455674
-2.156e-007,0.000623553
-2.154e-007,0.000527622
-2.152e-007,0.000301498
-2.15e-007,0.000232976
-2.148e-007,0.000417986
-2.146e-007,0.000626979
-2.144e-007,0.000585866
-2.142e-007,0.000342612
-2.14e-007,0.000232976
-2.138e-007,0.000400856
-2.136e-007,0.000674945
-2.134e-007,0.000774303
-2.132e-007,0.000558457
-2.13e-007,0.000270663
-2.128e-007,0.000232976
-2.126e-007,0.000448821
-2.124e-007,0.000633832
-2.122e-007,0.000565309
-2.12e-007,0.000346038
-2.118e-007,0.000250107
-2.116e-007,0.000404282
-2.114e-007,0.000657815
-2.112e-007,0.000719485
-2.11e-007,0.00047623
-2.108e-007,0.000208993
-2.106e-007,0.000232976
-2.104e-007,0.00047623
-2.102e-007,0.000671519
-2.1e-007,0.000589292
-2.098e-007,0.000315203
-2.096e-007,0.000198715
-2.094e-007,0.000373447
-2.092e-007,0.000630406
-2.09e-007,0.000661241
-2.088e-007,0.0004591
-2.086e-007,0.000263811
-2.084e-007,0.000308351
-2.082e-007,0.0005379
-2.08e-007,0.000671519
-2.078e-007,0.000555031
-2.076e-007,0.000346038
-2.074e-007,0.000301498
-2.072e-007,0.000486509
-2.07e-007,0.000661241
-2.068e-007,0.000585866
-2.066e-007,0.000325481
-2.064e-007,0.000154175
-2.062e-007,0.000263811
-2.06e-007,0.0005379
-2.058e-007,0.000678371
-2.056e-007,0.000544753
-2.054e-007,0.00035289
-2.052e-007,0.000346038
-2.05e-007,0.000517344
-2.048e-007,0.000647536
-2.046e-007,0.000541327
-2.044e-007,0.000287794
-2.042e-007,0.000198715
-2.04e-007,0.000407708
-2.038e-007,0.000692076
-2.036e-007,0.000740041
-2.034e-007,0.000503639
-2.032e-007,0.000226124
-2.03e-007,0.000215845
-2.028e-007,0.0004591
-2.026e-007,0.000633832
-2.024e-007,0.000551605
-2.022e-007,0.000322055
-2.02e-007,0.000239828
-2.018e-007,0.000448821
-2.016e-007,0.000729763
-2.014e-007,0.000791433
-2.012e-007,0.000585866
-2.01e-007,0.000363168
-2.008e-007,0.000346038
-2.006e-007,0.000452248
-2.004e-007,0.000493361
-2.002e-007,0.000346038
-2e-007,0.00016788
-1.998e-007,0.000191863
-1.996e-007,0.000445395
-1.994e-007,0.000668093
-1.992e-007,0.000613275
-1.99e-007,0.000411134
-1.988e-007,0.00033576
-1.986e-007,0.000517344
-1.984e-007,0.00076745
-1.982e-007,0.000791433
-1.98e-007,0.0005379
-1.978e-007,0.000181584
-1.976e-007,6.85224e-005
-1.974e-007,0.000287794
-1.972e-007,0.000534474
